TESTLET_ID,ITEM_ID,SEQUENCE
x00100209,x00100223,14
x00101997,x00102000,3
x00101997,x00102000,3
x00101551,x00101561,10
x00101551,x00101561,10
x00101281,x00101283,2
x00101281,x00101283,2
x00100131,x00100151,20
x00100131,x00100151,20
x00101086,x00101087,1
x00101086,x00101087,1
x00101209,x00101087,9
x00101209,x00101087,9
x00102320,x00102329,9
x00102320,x00102329,9
x00102082,x00102087,5
x00102082,x00102087,5
x00102201,x00102087,13
x00102201,x00102087,13
x00100105,x00100109,4
x00100105,x00100109,4
x00101785,x00101792,7
x00101785,x00101792,7
x00101897,x00101898,1
x00101897,x00101898,1
x00102014,x00101898,9
x00102014,x00101898,9
x00101407,x00101416,9
x00101407,x00101416,9
x00100131,x00100150,19
x00100131,x00100150,19
x00100916,x00100928,12
x00100916,x00100928,12
x00100157,x00100174,17
x00100157,x00100174,17
x00100105,x00100129,24
x00100105,x00100129,24
x00101583,x00101594,11
x00101583,x00101594,11
x00100495,x00100507,12
x00100495,x00100507,12
x00100521,x00100538,17
x00100521,x00100538,17
x00102048,x00102051,3
x00102048,x00102051,3
x00102133,x00102051,11
x00102133,x00102051,11
x00102167,x00102051,11
x00102167,x00102051,11
x00101103,x00101115,12
x00101103,x00101115,12
x00101281,x00101292,11
x00101281,x00101292,11
x00101865,x00101870,5
x00101865,x00101870,5
x00101946,x00101870,13
x00101946,x00101870,13
x00101980,x00101870,13
x00101980,x00101870,13
x00101769,x00101771,2
x00101769,x00101771,2
x00102587,x00102588,1
x00102587,x00102588,1
x00102391,x00102400,9
x00102391,x00102400,9
x00100984,x00100743,7
x00100984,x00100743,7
x00100730,x00100743,13
x00100730,x00100743,13
x00100183,x00100189,6
x00100183,x00100189,6
x00100105,x00100118,13
x00100105,x00100118,13
x00102718,x00102722,4
x00102718,x00102722,4
x00100805,x00100806,1
x00100805,x00100806,1
x00100790,x00100798,8
x00100790,x00100798,8
x00101069,x00101073,4
x00101069,x00101073,4
x00100157,x00100163,6
x00100157,x00100163,6
x00100053,x00100054,1
x00100053,x00100054,1
x00102381,x00102390,9
x00102381,x00102390,9
x00102522,x00102528,6
x00102522,x00102528,6
x00100443,x00100456,13
x00100443,x00100456,13
x00100790,x00100801,11
x00100790,x00100801,11
x00102065,x00102080,15
x00102065,x00102080,15
x00100760,x00100774,13
x00100547,x00100551,4
x00100547,x00100551,4
x00101897,x00101907,10
x00101897,x00101907,10
x00101833,x00101844,11
x00101833,x00101844,11
x00100391,x00100416,25
x00100391,x00100416,25
x00100079,x00100093,14
x00100079,x00100093,14
x00102252,x00102259,7
x00102252,x00102259,7
x00101035,x00101038,3
x00101035,x00101038,3
x00101833,x00101836,3
x00101833,x00101836,3
x00101263,x00101272,9
x00101263,x00101272,9
x00101001,x00101005,4
x00101001,x00101005,4
x00101001,x00100821,9
x00101001,x00100821,9
x00100820,x00100821,1
x00100820,x00100821,1
x00100916,x00100648,2
x00100916,x00100648,2
x00100640,x00100648,8
x00100640,x00100648,8
x00100882,x00100648,2
x00100882,x00100648,2
x00101833,x00101835,2
x00101833,x00101835,2
x00101785,x00101788,3
x00101785,x00101788,3
x00100313,x00100326,13
x00100313,x00100326,13
x00101785,x00101787,2
x00101785,x00101787,2
x00102371,x00102375,4
x00102371,x00102375,4
x00100131,x00100138,7
x00100131,x00100138,7
x00100157,x00100158,1
x00100157,x00100158,1
x00100417,x00100422,5
x00100417,x00100422,5
x00100261,x00100265,4
x00100261,x00100265,4
x00102099,x00102114,15
x00102099,x00102114,15
x00101753,x00101682,9
x00101753,x00101682,9
x00101785,x00101682,9
x00101785,x00101682,9
x00101681,x00101682,1
x00101681,x00101682,1
x00100521,x00100533,12
x00100521,x00100533,12
x00100079,x00100089,10
x00100079,x00100089,10
x00102413,x00102422,9
x00102413,x00102422,9
x00102116,x00102125,9
x00102116,x00102125,9
x00102391,x00102396,5
x00102391,x00102396,5
x00102116,x00102131,15
x00102116,x00102131,15
x00101569,x00101579,10
x00101569,x00101579,10
x00102620,x00102621,1
x00102620,x00102621,1
x00102303,x00102310,7
x00102303,x00102310,7
x00101865,x00101880,15
x00101865,x00101880,15
x00100027,x00100042,15
x00100027,x00100042,15
x00102337,x00102343,6
x00102337,x00102343,6
x00102533,x00102533-05-AIA,6
x00100365,x00100377,12
x00100365,x00100377,12
x00102739,x00102740,1
x00102739,x00102740,1
x00102547,x00102549,2
x00102547,x00102549,2
x00100865,x00100874,9
x00100865,x00100874,9
x00100287,x00100293,6
x00100287,x00100293,6
x00102361,x00102370,9
x00102361,x00102370,9
x00101785,x00101791,6
x00101785,x00101791,6
x00101946,x00101949,3
x00101946,x00101949,3
x00100655,x00100659,4
x00100655,x00100659,4
x00101497,x00101512,15
x00101497,x00101512,15
x00102442,x00102443,1
x00102442,x00102443,1
x00101120,x00101122,2
x00101120,x00101122,2
x00100521,x00100539,18
x00100521,x00100539,18
x00101443,x00101444,1
x00101443,x00101444,1
x00102150,x00102152,2
x00102150,x00102152,2
x00102133,x00102140,7
x00102133,x00102140,7
x00100261,x00100262,1
x00100261,x00100262,1
x00100670,x00100679,9
x00100670,x00100679,9
x00100027,x00100044,17
x00100027,x00100044,17
x00102557,x00102561,4
x00102557,x00102561,4
x00102489,x00102497,8
x00102489,x00102497,8
x00101753,x00101686,13
x00101753,x00101686,13
x00101785,x00101686,13
x00101785,x00101686,13
x00101681,x00101686,5
x00101681,x00101686,5
x00100820,x00100828,8
x00100820,x00100828,8
x00100835,x00100849,13
x00101913,x00101926,13
x00101913,x00101926,13
x00101086,x00101093,7
x00101086,x00101093,7
x00101209,x00101093,15
x00101209,x00101093,15
x00100790,x00100799,9
x00100790,x00100799,9
x00101597,x00101600,3
x00101597,x00101600,3
x00102218,x00102102,11
x00102218,x00102102,11
x00102099,x00102102,3
x00102099,x00102102,3
x00100950,x00100964,14
x00100950,x00100964,14
x00101155,x00100964,7
x00101155,x00100964,7
x00101407,x00101206,7
x00101407,x00101206,7
x00101191,x00101206,15
x00101191,x00101206,15
x00101639,x00101651,12
x00101639,x00101651,12
x00102320,x00102324,4
x00102320,x00102324,4
x00101209,x00101094,16
x00101209,x00101094,16
x00101086,x00101094,8
x00101086,x00101094,8
x00101052,x00101055,3
x00101052,x00101055,3
x00101389,x00101184,3
x00101389,x00101184,3
x00101173,x00101184,11
x00101173,x00101184,11
x00100079,x00100099,20
x00100079,x00100099,20
x00100105,x00100122,17
x00100105,x00100122,17
x00100775,x00100783,8
x00100775,x00100783,8
x00100865,x00100633,2
x00100865,x00100633,2
x00100899,x00100633,2
x00100899,x00100633,2
x00100625,x00100633,8
x00100625,x00100633,8
x00102116,x00102123,7
x00102116,x00102123,7
x00100640,x00100645,5
x00100640,x00100645,5
x00101653,x00101659,6
x00101653,x00101659,6
x00102201,x00102203,2
x00102201,x00102203,2
x00101737,x00101672,13
x00101737,x00101672,13
x00101769,x00101672,13
x00101769,x00101672,13
x00101667,x00101672,5
x00101667,x00101672,5
x00100391,x00100410,19
x00100391,x00100410,19
x00100027,x00100041,14
x00100027,x00100041,14
x00100105,x00100130,25
x00100105,x00100130,25
x00101155,x00100965,8
x00101155,x00100965,8
x00100950,x00100965,15
x00100950,x00100965,15
x00100391,x00100396,5
x00100391,x00100396,5
x00102655,x00102657,2
x00102655,x00102657,2
x00101801,x00101699,12
x00101801,x00101699,12
x00101695,x00101699,4
x00101695,x00101699,4
x00101335,x00101350,15
x00101335,x00101350,15
x00102655,x00102659,4
x00102655,x00102659,4
x00101389,x00101400,11
x00101389,x00101400,11
x00101245,x00101253,8
x00101245,x00101253,8
x00101120,x00101135,15
x00101120,x00101135,15
x00100933,x00100693,2
x00100933,x00100693,2
x00100685,x00100693,8
x00100685,x00100693,8
x00100469,x00100491,22
x00100469,x00100491,22
x00101052,x00101053,1
x00101052,x00101053,1
x00102337,x00102339,2
x00102337,x00102339,2
x00101533,x00101549,16
x00101533,x00101549,16
x00101299,x00101308,9
x00101299,x00101308,9
x00102381,x00102389,8
x00102381,x00102389,8
x00100933,x00100945,12
x00100933,x00100945,12
x00101137,x00100945,5
x00101137,x00100945,5
x00102442,x00102442-02-AIA,3
x00101515,x00101519,4
x00101515,x00101519,4
x00100365,x00100383,18
x00100365,x00100383,18
x00101737,x00101739,2
x00101737,x00101739,2
x00102269,x00102275,6
x00102269,x00102275,6
x00101245,x00101256,11
x00101245,x00101256,11
x00101881,x00101896,15
x00101881,x00101896,15
x00102469,x00102475,6
x00102469,x00102475,6
x00100079,x00100094,15
x00100079,x00100094,15
x00102391,x00102393,2
x00102391,x00102393,2
x00101407,x00101204,5
x00101407,x00101204,5
x00101191,x00101204,13
x00101191,x00101204,13
x00100469,x00100478,9
x00100469,x00100478,9
x00100495,x00100514,19
x00100495,x00100514,19
x00100547,x00100559,12
x00100547,x00100559,12
x00102337,x00102341,4
x00102337,x00102341,4
x00100053,x00100072,19
x00100053,x00100072,19
x00102371,x00102376,5
x00102371,x00102376,5
x00101897,x00101899,2
x00101897,x00101899,2
x00102014,x00101899,10
x00102014,x00101899,10
x00100469,x00100487,18
x00100469,x00100487,18
x00102696,x00102701,5
x00102696,x00102701,5
x00101737,x00101744,7
x00101737,x00101744,7
x00100730,x00100744,13
x00100313,x00100330,17
x00100313,x00100330,17
x00102269,x00102273,4
x00102269,x00102273,4
x00102269,x00102282,13
x00102269,x00102282,13
x00102665,x00102674,9
x00102665,x00102674,9
x00100365,x00100370,5
x00100365,x00100370,5
x00101497,x00101499,2
x00101497,x00101499,2
x00100053,x00100059,6
x00100053,x00100059,6
x00100760,x00100768,8
x00100760,x00100768,8
x00101069,x00101082,13
x00101069,x00101082,13
x00101817,x00101713,12
x00101817,x00101713,12
x00101709,x00101713,4
x00101709,x00101713,4
x00100984,x00100999,15
x00100984,x00100999,15
x00101191,x00100999,8
x00101191,x00100999,8
x00102522,x00102527,5
x00102522,x00102527,5
x00102320,x00102326,6
x00102320,x00102326,6
x00102201,x00102204,3
x00102201,x00102204,3
x00102696,x00102704,8
x00102696,x00102704,8
x00101407,x00101203,4
x00101407,x00101203,4
x00101191,x00101203,12
x00101191,x00101203,12
x00100495,x00100503,8
x00100495,x00100503,8
x00102303,x00102309,6
x00102303,x00102309,6
x00100443,x00100457,14
x00100443,x00100457,14
x00101515,x00101525,10
x00101515,x00101525,10
x00100235,x00100239,4
x00100235,x00100239,4
x00101833,x00101846,13
x00101833,x00101846,13
x00102048,x00102063,15
x00102048,x00102063,15
x00102344,x00102344-00-AIA,1
x00100573,x00100585,12
x00100573,x00100585,12
x00102577,x00102579,2
x00102577,x00102579,2
x00101461,x00101463,2
x00101461,x00101463,2
x00100835,x00100846,11
x00100835,x00100846,11
x00100287,x00100308,21
x00100287,x00100308,21
x00102184,x00102186,2
x00102184,x00102186,2
x00101371,x00101170,7
x00101371,x00101170,7
x00101155,x00101170,15
x00101155,x00101170,15
x00102638,x00102638-00-AIA,1
x00101443,x00101445,2
x00101443,x00101445,2
x00101611,x00101621,10
x00101611,x00101621,10
x00102479,x00102480,1
x00102479,x00102480,1
x00102469,x00102473,4
x00102469,x00102473,4
x00101597,x00101601,4
x00101597,x00101601,4
x00101035,x00101040,5
x00101035,x00101040,5
x00102665,x00102670,5
x00102665,x00102670,5
x00101929,x00101934,5
x00101929,x00101934,5
x00100261,x00100284,23
x00100261,x00100284,23
x00101515,x00101520,5
x00101515,x00101520,5
x00101407,x00101421,14
x00101407,x00101421,14
x00100235,x00100253,18
x00100235,x00100253,18
x00101069,x00101078,9
x00101069,x00101078,9
x00102351,x00102354,3
x00102351,x00102354,3
x00101849,x00101859,10
x00101849,x00101859,10
x00102167,x00102173,6
x00102167,x00102173,6
x00102048,x00102056,8
x00102048,x00102056,8
x00102133,x00102056,16
x00102133,x00102056,16
x00102167,x00102056,16
x00102167,x00102056,16
x00102337,x00102337-04-AIA,5
x00100820,x00100833,13
x00100820,x00100833,13
x00102424,x00102429,5
x00102424,x00102429,5
x00100053,x00100060,7
x00100053,x00100060,7
x00102638,x00102642,4
x00102638,x00102642,4
x00100209,x00100218,9
x00100209,x00100218,9
x00100916,x00100925,9
x00100916,x00100925,9
x00102371,x00102378,7
x00102371,x00102378,7
x00102116,x00102126,10
x00102116,x00102126,10
x00100521,x00100524,3
x00100521,x00100524,3
x00102413,x00102416,3
x00102413,x00102416,3
x00100261,x00100283,22
x00100261,x00100283,22
x00101371,x00101381,10
x00101371,x00101381,10
x00100443,x00100452,9
x00100443,x00100452,9
x00101997,x00101998,1
x00101997,x00101998,1
x00100469,x00100488,19
x00100469,x00100488,19
x00100261,x00100266,5
x00100261,x00100266,5
x00100053,x00100076,23
x00100053,x00100076,23
x00101052,x00101056,4
x00101052,x00101056,4
x00102587,x00102594,7
x00102587,x00102594,7
x00102286,x00102291,5
x00102286,x00102291,5
x00100984,x00100738,2
x00100984,x00100738,2
x00100730,x00100738,8
x00100730,x00100738,8
x00102371,x00102373,2
x00102371,x00102373,2
x00102344,x00102350,6
x00102344,x00102350,6
x00102065,x00102079,14
x00102065,x00102079,14
x00100053,x00100065,12
x00100053,x00100065,12
x00102116,x00102119,3
x00102116,x00102119,3
x00102320,x00102334,14
x00102320,x00102334,14
x00102442,x00102442-05-AIA,6
x00100495,x00100506,11
x00100495,x00100506,11
x00100760,x00100764,4
x00100760,x00100764,4
x00100209,x00100232,23
x00100209,x00100232,23
x00100391,x00100401,10
x00100391,x00100401,10
x00102631,x00102631-05-AIA,6
x00101753,x00101759,6
x00101753,x00101759,6
x00102048,x00102064,16
x00102048,x00102064,16
x00102442,x00102442-00-AIA,1
x00100053,x00100064,11
x00100053,x00100064,11
x00101980,x00101984,4
x00101980,x00101984,4
x00102048,x00102062,14
x00102048,x00102062,14
x00100865,x00100638,7
x00100865,x00100638,7
x00100899,x00100638,7
x00100899,x00100638,7
x00100625,x00100638,13
x00100625,x00100638,13
x00100417,x00100435,18
x00100417,x00100435,18
x00101913,x00101921,8
x00101913,x00101921,8
x00100131,x00100147,16
x00100131,x00100147,16
x00102065,x00102081,16
x00102065,x00102081,16
x00101281,x00101289,8
x00101281,x00101289,8
x00100599,x00100603,4
x00100599,x00100603,4
x00102500,x00102509,9
x00102500,x00102509,9
x00100984,x00100741,5
x00100984,x00100741,5
x00100730,x00100741,11
x00100730,x00100741,11
x00102133,x00102136,3
x00102133,x00102136,3
x00101913,x00101927,14
x00101913,x00101927,14
x00101980,x00101982,2
x00101980,x00101982,2
x00100209,x00100214,5
x00100209,x00100214,5
x00100287,x00100296,9
x00100287,x00100296,9
x00101533,x00101545,12
x00101533,x00101545,12
x00101801,x00101698,11
x00101801,x00101698,11
x00101695,x00101698,3
x00101695,x00101698,3
x00101833,x00101841,8
x00101833,x00101841,8
x00100261,x00100271,10
x00100261,x00100271,10
x00102381,x00102384,3
x00102381,x00102384,3
x00102381,x00102382,1
x00102381,x00102382,1
x00100775,x00100776,1
x00100775,x00100776,1
x00100730,x00100732,2
x00100730,x00100732,2
x00100599,x00100610,11
x00100599,x00100610,11
x00100079,x00100092,13
x00100079,x00100092,13
x00100287,x00100291,4
x00100287,x00100291,4
x00100599,x00100624,25
x00100599,x00100624,25
x00100417,x00100431,14
x00100417,x00100431,14
x00102344,x00102345,1
x00102344,x00102345,1
x00101299,x00101310,11
x00101299,x00101310,11
x00101299,x00101312,13
x00101299,x00101312,13
x00101281,x00101296,15
x00101281,x00101296,15
x00102286,x00102300,14
x00102286,x00102300,14
x00102361,x00102362,1
x00102361,x00102362,1
x00102167,x00102171,4
x00102167,x00102171,4
x00102620,x00102627,7
x00102620,x00102627,7
x00102442,x00102445,3
x00102442,x00102445,3
x00100183,x00100198,15
x00100183,x00100198,15
x00101695,x00101703,8
x00101695,x00101703,8
x00101209,x00101216,7
x00101209,x00101216,7
x00101052,x00101063,11
x00101052,x00101063,11
x00102620,x00102624,4
x00102620,x00102624,4
x00101461,x00101467,6
x00101461,x00101467,6
x00101611,x00101622,11
x00101611,x00101622,11
x00102048,x00102059,11
x00102048,x00102059,11
x00101817,x00101711,10
x00101817,x00101711,10
x00101709,x00101711,2
x00101709,x00101711,2
x00101801,x00101806,5
x00101801,x00101806,5
x00101569,x00101570,1
x00101569,x00101570,1
x00102402,x00102407,5
x00102402,x00102407,5
x00102184,x00102066,9
x00102184,x00102066,9
x00102065,x00102066,1
x00102065,x00102066,1
x00102150,x00102066,9
x00102150,x00102066,9
x00101407,x00101201,2
x00101407,x00101201,2
x00101191,x00101201,10
x00101191,x00101201,10
x00100105,x00100120,15
x00100105,x00100120,15
x00101533,x00101541,8
x00101533,x00101541,8
x00102269,x00102283,14
x00102269,x00102283,14
x00101639,x00101652,13
x00101639,x00101652,13
x00100209,x00100210,1
x00100209,x00100210,1
x00100495,x00100520,25
x00100495,x00100520,25
x00101227,x00101234,7
x00101227,x00101234,7
x00101443,x00101321,12
x00101443,x00101321,12
x00101317,x00101321,4
x00101317,x00101321,4
x00102567,x00102568,1
x00102567,x00102568,1
x00100670,x00100683,13
x00100670,x00100683,13
x00101086,x00101088,2
x00101086,x00101088,2
x00101209,x00101088,10
x00101209,x00101088,10
x00100313,x00100318,5
x00100313,x00100318,5
x00100916,x00100926,10
x00100916,x00100926,10
x00100313,x00100334,21
x00100313,x00100334,21
x00100183,x00100204,21
x00100183,x00100204,21
x00101479,x00101492,13
x00101479,x00101492,13
x00101035,x00101041,6
x00101035,x00101041,6
x00100391,x00100402,11
x00100391,x00100402,11
x00102587,x00102596,9
x00102587,x00102596,9
x00102442,x00102442-03-AIA,4
x00102540,x00102540-03-AIA,4
x00101865,x00101872,7
x00101865,x00101872,7
x00101946,x00101872,15
x00101946,x00101872,15
x00101980,x00101872,15
x00101980,x00101872,15
x00102598,x00102600,2
x00102598,x00102600,2
x00102718,x00102727,9
x00102718,x00102727,9
x00101865,x00101877,12
x00101865,x00101877,12
x00101709,x00101716,7
x00101709,x00101716,7
x00101817,x00101716,15
x00101817,x00101716,15
x00100079,x00100104,25
x00100079,x00100104,25
x00101052,x00101058,6
x00101052,x00101058,6
x00101173,x00101190,16
x00100599,x00100621,22
x00100599,x00100621,22
x00102303,x00102306,3
x00102303,x00102306,3
x00102065,x00102074,9
x00102065,x00102074,9
x00101299,x00101313,14
x00101299,x00101313,14
x00101497,x00101508,11
x00101497,x00101508,11
x00100745,x00100757,12
x00100745,x00100757,12
x00102402,x00102411,9
x00102402,x00102411,9
x00100313,x00100328,15
x00100313,x00100328,15
x00100443,x00100446,3
x00100443,x00100446,3
x00100287,x00100310,23
x00100287,x00100310,23
x00102133,x00102138,5
x00102133,x00102138,5
x00100835,x00100843,8
x00100835,x00100843,8
x00100547,x00100548,1
x00100547,x00100548,1
x00102459,x00102460,1
x00102459,x00102460,1
x00102031,x00102034,3
x00102031,x00102034,3
x00101723,x00101732,9
x00101723,x00101732,9
x00102718,x00102724,6
x00102718,x00102724,6
x00100287,x00100298,11
x00100287,x00100298,11
x00100079,x00100088,9
x00100079,x00100088,9
x00102218,x00102224,6
x00102218,x00102224,6
x00100105,x00100114,9
x00100105,x00100114,9
x00101913,x00101928,15
x00101913,x00101928,15
x00101227,x00101233,6
x00101227,x00101233,6
x00101695,x00101708,13
x00101695,x00101708,13
x00100365,x00100368,3
x00100365,x00100368,3
x00102116,x00102121,5
x00102116,x00102121,5
x00100235,x00100237,2
x00100235,x00100237,2
x00100760,x00100769,9
x00100760,x00100769,9
x00100131,x00100142,11
x00100131,x00100142,11
x00102522,x00102526,4
x00102522,x00102526,4
x00101018,x00101025,7
x00101018,x00101025,7
x00102533,x00102535,2
x00102533,x00102535,2
x00101695,x00101706,11
x00101695,x00101706,11
x00101120,x00101133,13
x00101120,x00101133,13
x00102303,x00102317,14
x00102303,x00102317,14
x00100899,x00100635,4
x00100899,x00100635,4
x00100625,x00100635,10
x00100625,x00100635,10
x00100865,x00100635,4
x00100865,x00100635,4
x00101209,x00101213,4
x00101209,x00101213,4
x00100209,x00100217,8
x00100209,x00100217,8
x00101625,x00101630,5
x00101625,x00101630,5
x00102065,x00102075,10
x00102065,x00102075,10
x00102665,x00102669,4
x00102665,x00102669,4
x00101035,x00101046,11
x00101035,x00101046,11
x00101052,x00101061,9
x00101052,x00101061,9
x00102344,x00102348,4
x00102344,x00102348,4
x00102685,x00102688,3
x00102685,x00102688,3
x00100469,x00100475,6
x00100469,x00100475,6
x00100131,x00100133,2
x00100131,x00100133,2
x00100950,x00100712,6
x00100950,x00100712,6
x00100700,x00100712,12
x00100700,x00100712,12
x00102598,x00102602,4
x00102598,x00102602,4
x00101833,x00101840,7
x00101833,x00101840,7
x00100001,x00100016,15
x00100001,x00100016,15
x00101001,x00101003,2
x00101001,x00101003,2
x00102167,x00102049,9
x00102167,x00102049,9
x00102048,x00102049,1
x00102048,x00102049,1
x00102133,x00102049,9
x00102133,x00102049,9
x00102685,x00102694,9
x00102685,x00102694,9
x00100053,x00100056,3
x00100053,x00100056,3
x00100967,x00100978,11
x00100967,x00100978,11
x00101173,x00100978,4
x00101173,x00100978,4
x00101035,x00101043,8
x00101035,x00101043,8
x00100313,x00100321,8
x00100313,x00100321,8
x00100339,x00100341,2
x00100339,x00100341,2
x00100495,x00100502,7
x00100495,x00100502,7
x00101801,x00101701,14
x00101801,x00101701,14
x00101695,x00101701,6
x00101695,x00101701,6
x00101353,x00101148,3
x00101353,x00101148,3
x00101137,x00101148,11
x00101137,x00101148,11
x00101833,x00101838,5
x00101833,x00101838,5
x00100053,x00100063,10
x00100053,x00100063,10
x00100209,x00100227,18
x00100209,x00100227,18
x00100933,x00100949,15
x00101639,x00101647,8
x00101639,x00101647,8
x00102449,x00102456,7
x00102449,x00102456,7
x00102731,x00102732,1
x00102731,x00102732,1
x00102303,x00102308,5
x00102303,x00102308,5
x00101425,x00101303,12
x00101425,x00101303,12
x00101299,x00101303,4
x00101299,x00101303,4
x00101035,x00101039,4
x00101035,x00101039,4
x00100443,x00100462,19
x00100443,x00100462,19
x00100027,x00100047,20
x00100027,x00100047,20
x00100521,x00100541,20
x00100521,x00100541,20
x00100261,x00100274,13
x00100261,x00100274,13
x00100469,x00100473,4
x00100469,x00100473,4
x00100655,x00100658,3
x00100655,x00100658,3
x00100495,x00100508,13
x00100495,x00100508,13
x00102048,x00102057,9
x00102048,x00102057,9
x00100261,x00100282,21
x00100261,x00100282,21
x00101479,x00101486,7
x00101479,x00101486,7
x00100079,x00100087,8
x00100079,x00100087,8
x00100521,x00100540,19
x00100521,x00100540,19
x00100417,x00100438,21
x00100417,x00100438,21
x00101737,x00101742,5
x00101737,x00101742,5
x00101086,x00101097,11
x00101086,x00101097,11
x00100670,x00100672,2
x00100670,x00100672,2
x00100209,x00100216,7
x00100209,x00100216,7
x00100599,x00100619,20
x00100599,x00100619,20
x00101897,x00101900,3
x00101897,x00101900,3
x00102014,x00101900,11
x00102014,x00101900,11
x00102235,x00102240,5
x00102235,x00102240,5
x00101001,x00101009,8
x00101001,x00101009,8
x00102479,x00102485,6
x00102479,x00102485,6
x00101946,x00101952,6
x00101946,x00101952,6
x00101533,x00101537,4
x00101533,x00101537,4
x00102351,x00102360,9
x00102351,x00102360,9
x00101263,x00101264,1
x00101263,x00101264,1
x00100261,x00100286,25
x00100261,x00100286,25
x00100183,x00100184,1
x00100183,x00100184,1
x00101479,x00101482,3
x00101479,x00101482,3
x00100775,x00100780,5
x00100775,x00100780,5
x00102252,x00102263,11
x00102252,x00102263,11
x00100209,x00100222,13
x00100209,x00100222,13
x00100865,x00100632,1
x00100865,x00100632,1
x00100899,x00100632,1
x00100899,x00100632,1
x00100625,x00100632,7
x00100625,x00100632,7
x00102435,x00102435-04-AIA,5
x00101209,x00101217,8
x00101209,x00101217,8
x00100625,x00100630,5
x00100625,x00100630,5
x00100183,x00100201,18
x00100183,x00100201,18
x00101709,x00101722,13
x00101709,x00101722,13
x00101801,x00101697,10
x00101801,x00101697,10
x00101695,x00101697,2
x00101695,x00101697,2
x00100469,x00100471,2
x00100469,x00100471,2
x00100105,x00100127,22
x00100105,x00100127,22
x00102511,x00102519,8
x00102511,x00102519,8
x00100655,x00100663,8
x00100655,x00100663,8
x00101086,x00101099,13
x00101086,x00101099,13
x00102201,x00102208,7
x00102201,x00102208,7
x00101611,x00101624,13
x00101611,x00101624,13
x00101001,x00101004,3
x00101001,x00101004,3
x00102631,x00102636,5
x00102631,x00102636,5
x00102567,x00102574,7
x00102567,x00102574,7
x00100599,x00100617,18
x00100599,x00100617,18
x00102655,x00102660,5
x00102655,x00102660,5
x00102577,x00102585,8
x00102577,x00102585,8
x00101263,x00101275,12
x00101263,x00101275,12
x00100670,x00100684,13
x00100157,x00100160,3
x00100157,x00100160,3
x00100495,x00100512,17
x00100495,x00100512,17
x00101245,x00101261,16
x00101245,x00101261,16
x00101335,x00101340,5
x00101335,x00101340,5
x00101479,x00101491,12
x00101479,x00101491,12
x00101653,x00101666,13
x00101653,x00101666,13
x00100391,x00100403,12
x00100391,x00100403,12
x00102065,x00102077,12
x00102065,x00102077,12
x00100521,x00100535,14
x00100521,x00100535,14
x00100079,x00100085,6
x00100079,x00100085,6
x00101103,x00101116,13
x00101103,x00101116,13
x00102567,x00102569,2
x00102567,x00102569,2
x00101801,x00101696,9
x00101801,x00101696,9
x00101695,x00101696,1
x00101695,x00101696,1
x00100640,x00100643,3
x00100640,x00100643,3
x00101461,x00101471,10
x00101461,x00101471,10
x00102449,x00102458,9
x00102449,x00102458,9
x00101461,x00101462,1
x00101461,x00101462,1
x00101371,x00101166,3
x00101371,x00101166,3
x00101155,x00101166,11
x00101155,x00101166,11
x00100573,x00100594,21
x00100573,x00100594,21
x00101052,x00101054,2
x00101052,x00101054,2
x00102424,x00102433,9
x00102424,x00102433,9
x00100079,x00100101,22
x00100079,x00100101,22
x00101263,x00101269,6
x00101263,x00101269,6
x00100105,x00100106,1
x00100105,x00100106,1
x00100625,x00100627,2
x00100625,x00100627,2
x00100365,x00100371,6
x00100365,x00100371,6
x00100131,x00100137,6
x00100131,x00100137,6
x00101897,x00101905,8
x00101897,x00101905,8
x00102014,x00101905,16
x00102014,x00101905,16
x00101479,x00101493,14
x00101479,x00101493,14
x00101653,x00101664,11
x00101653,x00101664,11
x00102099,x00102111,12
x00102099,x00102111,12
x00100967,x00100725,4
x00100967,x00100725,4
x00100715,x00100725,10
x00100715,x00100725,10
x00100700,x00100714,13
x00100495,x00100496,1
x00100495,x00100496,1
x00100391,x00100398,7
x00100391,x00100398,7
x00101695,x00101707,12
x00101695,x00101707,12
x00101583,x00101596,13
x00101583,x00101596,13
x00100745,x00100754,9
x00100745,x00100754,9
x00100984,x00100997,13
x00100984,x00100997,13
x00101191,x00100997,6
x00101191,x00100997,6
x00100443,x00100458,15
x00100443,x00100458,15
x00101639,x00101643,4
x00101639,x00101643,4
x00102511,x00102514,3
x00102511,x00102514,3
x00102048,x00102054,6
x00102048,x00102054,6
x00102133,x00102054,14
x00102133,x00102054,14
x00102167,x00102054,14
x00102167,x00102054,14
x00101533,x00101550,16
x00102620,x00102625,5
x00102620,x00102625,5
x00101946,x00101947,1
x00101946,x00101947,1
x00102638,x00102644,6
x00102638,x00102644,6
x00102609,x00102610,1
x00102609,x00102610,1
x00100573,x00100575,2
x00100573,x00100575,2
x00100235,x00100245,10
x00100235,x00100245,10
x00100547,x00100556,9
x00100547,x00100556,9
x00100313,x00100329,16
x00100313,x00100329,16
x00102511,x00102518,7
x00102511,x00102518,7
x00100443,x00100466,23
x00100443,x00100466,23
x00100027,x00100036,9
x00100027,x00100036,9
x00101103,x00101109,6
x00101103,x00101109,6
x00101227,x00101109,14
x00101227,x00101109,14
x00102099,x00102107,8
x00102099,x00102107,8
x00102218,x00102107,16
x00102218,x00102107,16
x00100495,x00100517,22
x00100495,x00100517,22
x00101583,x00101586,3
